cds14,school_name,county,students_per_grade,charter
01100170109835,FAME Public Charter,Alameda,62.0,
01100170112607,Envision Academy for Arts & T,Alameda,37.0,1
01100170118489,Aspire California College Prep,Alameda,61.0,
01100170126748,Lps Oakland R&d Campus,Alameda,,1
01100170130401,Juvenile Hall/Court,Alameda,67.0,0
01100170130419,County Community (Alameda),Alameda,34.0,0
01100170130427,Alameda Co. Opportunity,Alameda,16.0,
01100170130625,Alternatives in Action High School,Alameda,34.0,1
01100170136101,Connecting Waters Charter - East Bay,Alameda,14.0,1
01100170136226,School 01100170136226,,153.0,1
01157250115725,School 01157250115725,,63.0,
01316090131755,Calif Schl.for the Blind,Alameda,2.0,0
01316170131763,CA Schl for the Deaf-Fremont,Alameda,85.0,0
01611190000001,District Students in NPS (Alameda) [1],Alameda,,0
01611190106401,Alameda Science and Technolog,Alameda,49.0,0
01611190119222,Nea Community Learning Center,Alameda,34.0,1
01611190130229,Alameda High,Alameda,467.0,0
01611190130609,Alameda Community Learning Ce,Alameda,60.0,1
01611190130625,Bay Area School of Enterprise,Alameda,38.0,
01611190132142,Encinal Junior/Senior High,Alameda,232.0,0
01611190132878,Encinal High,Alameda,238.0,
01611190134304,Island High  (Continuation),Alameda,68.0,0
01611270000001,District Students in NPS (Alameda) [2],Alameda,,0
01611270130294,MacGregor High (Continuation),Alameda,17.0,0
01611270130450,Albany High,Alameda,280.0,0
01611430000001,District Students in NPS (Alameda) [3],Alameda,,0
01611430122697,REALM Charter High,Alameda,86.0,
01611430131078,School 01611430131078,,,
01611430131177,Berkeley High,Alameda,804.0,0
01611430134924,Berkeley Technology,Alameda,41.0,0
01611430138552,REALM Charter,Alameda,65.0,
01611430161143,Home/hospital and independent study (Alameda) [1],Alameda,,
01611500000001,District Students in NPS (Alameda) [4],Alameda,,0
01611500102194,Redwood Alternative  High,Alameda,50.0,
01611500132225,Castro Valley High,Alameda,718.0,0
01611500133876,Castro Valley Virtual Academy,Alameda,10.0,0
01611500135533,Redwood Continuation High,Alameda,73.0,0
01611500161150,School 01611500161150,,,
01611680000001,District Students in NPS (Alameda) [5],Alameda,,0
01611680132746,Emery Secondary,Alameda,40.0,0
01611760000001,District Students in NPS (Alameda) [6],Alameda,,0
01611760130062,American High,Alameda,654.0,0
01611760130138,Robertson High (Continuation),Alameda,121.0,0
01611760130435,Vista Alternative,Alameda,12.0,0
01611760130534,Circle of Independent Learnin,Alameda,69.0,1
01611760133108,Fremont Adult,Alameda,,
01611760134270,Irvington High,Alameda,539.0,0
01611760134452,Kennedy (John F.) High (Alameda),Alameda,318.0,0
01611760135244,Mission San Jose High,Alameda,448.0,0
01611760138693,Washington High (Alameda),Alameda,489.0,0
01611920000001,District Students in NPS (Alameda) [7],Alameda,,0
01611920108670,LPS Hayward,Alameda,141.0,1
01611920113902,Impact Academy of Arts & Tech,Alameda,103.0,
01611920127944,Silver Oak High Public Montessori Charter,Alameda,40.0,1
01611920133009,Brenkwitz High,Alameda,132.0,0
01611920133520,School 01611920133520,,,
01611920133629,Hayward High,Alameda,395.0,0
01611920135319,Mt. Eden High,Alameda,466.0,0
01611920137646,Impact Academy of Arts & Technology,Alameda,86.0,1
01611920138339,Tennyson High,Alameda,378.0,0
01612000000001,District Students in NPS (Alameda) [8],Alameda,,0
01612000120931,Livermore Valley Charter Preparatory High,Alameda,86.0,
01612000130393,Vineyard Alternative,Alameda,38.0,0
01612000130492,Phoenix High (Continuation),Alameda,12.0,
01612000132670,Del Valle Continuation High,Alameda,81.0,0
01612000133397,Granada High (Alameda),Alameda,539.0,0
01612000134536,Livermore High,Alameda,457.0,0
01612340000001,District Students in NPS (Alameda) [9],Alameda,,0
01612340130054,Newark Memorial High,Alameda,342.0,0
01612340130484,Crossroads High (Alter.),Alameda,11.0,0
01612340130682,Progressive Academy,Alameda,1.0,
01612340135418,School 01612340135418,,,
01612340135426,"Bridgepoint High, Continuation",Alameda,37.0,0
01612420000001,District Students in NPS (Alameda) [10],Alameda,,0
01612420110460,Core Learning Academy,Alameda,109.0,0
01612420110478,Alternative Learning Academy,Alameda,12.0,0
01612420114629,New Haven Community Day,Alameda,3.0,
01612420126763,Independent Study,Alameda,51.0,0
01612420134635,School 01612420134635,,,
01612420134668,James Logan High,Alameda,774.0,0
01612590000001,District Students in NPS (Alameda) [11],Alameda,23.0,0
01612590100065,Oakland Unity High,Alameda,74.0,1
01612590100701,MetWest,Alameda,40.0,0
01612590100826,Mandela High,Alameda,78.0,
01612590100834,Media College Preparatory,Alameda,64.0,
01612590100842,Robeson Vis and Perf Arts,Alameda,38.0,
01612590100859,Yes,Alameda,33.0,
01612590101063,College Prep. and Architecture,Alameda,80.0,
01612590101469,LPS College Park,Alameda,57.0,
01612590102954,Business & Information Tech,Alameda,65.0,
01612590102962,E. Oakland Sch. of the Arts,Alameda,57.0,
01612590102970,Eoch,Alameda,,
01612590106468,Youth Employment Partner,Alameda,1.0,
01612590106542,Community Day (Alameda),Alameda,7.0,
01612590106906,Bay Area Technology,Alameda,25.0,1
01612590107169,Oasis High,Alameda,48.0,
01612590107417,Leadership Prep High,Alameda,64.0,
01612590108803,Aspire Millsmont Academy,Alameda,,
01612590108852,CAL Prep,Alameda,,
01612590108944,Lighthouse Community 9-12,Alameda,70.0,1
01612590110171,Best,Alameda,28.0,
01612590110189,McClymonds High,Alameda,89.0,0
01612590110361,Far West,Alameda,17.0,
01612590111823,Oakland Aviation High,Alameda,24.0,
01612590111856,American Indian Public High,Alameda,96.0,1
01612590112482,Space Explorarion Academy,Alameda,,
01612590112797,Coliseum College Prep Academy,Alameda,115.0,0
01612590114868,Oakland Charter High,Alameda,82.0,1
01612590115238,ARISE High,Alameda,68.0,1
01612590115386,Civicorps Corpsmember Academy,Alameda,51.0,
01612590115667,Oakland International High,Alameda,94.0,0
01612590116137,East Oakland Leadership Acade,Alameda,8.0,
01612590118224,Aspire Golden State CP Academy,Alameda,58.0,1
01612590118653,Ralph J. Bunche High,Alameda,62.0,0
01612590119859,Gateway to College at Laney C,Alameda,65.0,0
01612590125161,Castlemont High,Alameda,180.0,0
01612590125716,Fremont High (Alameda),Alameda,292.0,0
01612590126748,LPS Oakland R & D Campus,Alameda,43.0,1
01612590129932,East Bay Innovation Academy,Alameda,58.0,1
01612590130146,Rudsdale Continuation,Alameda,139.0,0
01612590130179,Street Academy (Alter.),Alameda,32.0,0
01612590130526,Merritt Middle College Hi,Alameda,25.0,
01612590130575,LIFE Academy,Alameda,62.0,0
01612590130591,University Preparatory (Alameda),Alameda,365.0,
01612590130617,Oakland Military (Alameda) [1],Alameda,93.0,1
01612590130633,Lighthouse Community K-8,Alameda,,1
01612590130666,Aspire Lionel Wilson College,Alameda,57.0,1
01612590130674,School of Social Justice Com,Alameda,17.0,
01612590132092,Castlemont Senior High,Alameda,196.0,
01612590132555,Conservatory of Vocal/Instrumental Arts High,Alameda,21.0,
01612590132688,Dewey Academy,Alameda,202.0,0
01612590133132,Fremont Senior High,Alameda,140.0,
01612590134015,Lodestar Lighthouse Comm Charter Sc,Alameda,49.0,1
01612590134791,McClymonds Senior High,Alameda,135.0,
01612590135905,Oakland High,Alameda,395.0,0
01612590136051,Oakland Technical High,Alameda,453.0,0
01612590137943,Skyline High,Alameda,312.0,0
01612590149187,MetWest High School,Alameda,50.0,0
01612593030772,Oakland School for the Arts,Alameda,116.0,1
01612596066450,Madison Middle,Alameda,102.0,0
01612596098701,Hillside Academy,Alameda,2.0,
01612596113807,American Indian Public Charter,Alameda,,1
01612596114011,"Independent Study, Sojourner",Alameda,80.0,0
01612596120778,Bunche (Ralph J.) High,Alameda,3.0,
01612596120786,Rudsdale Academy,Alameda,,
01612750000001,District Students in NPS (Alameda) [12],Alameda,,0
01612750130286,Millennium High (Alternative),Alameda,24.0,0
01612750136515,Piedmont High,Alameda,183.0,0
01612910000001,District Students in NPS (Alameda) [13],Alameda,,0
01612910134528,Lincoln High (Continuation),Alameda,85.0,0
01612910137489,School 01612910137489,,,
01612910137588,San Leandro High,Alameda,628.0,0
01612910141473,School 01612910141473,,24.0,0
01613090000001,District Students in NPS (Alameda) [14],Alameda,,0
01613090111799,East Bay Arts High,Alameda,32.0,0
01613090114421,KIPP King Collegiate High,Alameda,166.0,1
01613090130849,Arroyo High (Alameda),Alameda,375.0,0
01613090137745,Royal Sunset (Continuation),Alameda,103.0,0
01613090137810,San Lorenzo High,Alameda,257.0,0
01750930000000,School 01750930000000,,25.0,0
01750930000001,District Students in NPS (Alameda) [15],Alameda,,0
01750930132704,Dublin High,Alameda,693.0,0
01750930138453,Valley High (Continuation),Alameda,33.0,0
01750930175093,School 01750930175093,,24.0,
01751010000000,School 01751010000000,,31.0,0
01751010000001,District Students in NPS (Alameda) [16],Alameda,,0
01751010113480,Pleasanton Community Day,Alameda,2.0,
01751010130096,Foothill High (Alameda),Alameda,542.0,0
01751010130252,Village High,Alameda,76.0,0
01751010130559,Horizon High (Alameda),Alameda,,
01751010130583,Amador Valley High,Alameda,646.0,0
01751010141432,School 01751010141432,,18.0,0
01751010175101,Home/hospital and independent study (Alameda) [2],Alameda,28.0,
01751190130641,B.a.s.i.s.,Alameda,28.0,
01756220130617,Oakland Military (Alameda) [2],Alameda,,
01763800108670,Leadership Public Schools (Alameda),Alameda,,
01766530120931,Livermore Valley Charter Prep,Alameda,107.0,
01771800138289,Latitude 37.8 High,Alameda,54.0,1
02100250230011,Alpine County Opportunity,Alpine,1.0,0
02613330230029,Alpine 7-12 Community Day,Alpine,2.0,
02613330230045,Bear Valley High,Alpine,1.0,
02613330230052,Woodfords High,Alpine,1.0,
03100330000001,County Students in NPS (Amador),Amador,,
03100330330035,County Community (Amador),Amador,2.0,0
03100330330068,Special Education (Amador),Amador,24.0,0
03322760330027,Pine Grove Youth Conservation Camp (Amador),Amador,23.0,
03322760337352,James A. Wieden High,Amador,78.0,
03739810330019,"Independence High, Cont.",Amador,31.0,0
03739810330050,North Star Independent Study,Amador,23.0,0
03739810330753,Amador High,Amador,154.0,0
03739810334755,Argonaut High,Amador,96.0,0
04100410106492,South County Community,Butte,5.0,
04100410106500,North County Community,Butte,11.0,
04100410114991,CORE Butte Charter,Butte,100.0,1
04100410129817,School 04100410129817,,,0
04100410134213,Come Back Butte Charter,Butte,34.0,1
04100410430066,Table Mountain,Butte,12.0,0
04100410430090,Learning Community Charter,Butte,31.0,1
04100410430165,Soar,Butte,11.0,
04100410430173,Butte County Commnuity,Butte,26.0,
04100410430181,South County Community Day,Butte,4.0,
04100416069256,Special Education (Butte),Butte,1.0,0
04614080109868,Biggs Public Charter,Butte,9.0,
04614080430207,Biggs Community Day,Butte,2.0,
04614080430827,Biggs High,Butte,47.0,0
04614086115976,Biggs Intermediate Com Day,Butte,2.0,
04614240000001,District Students in NPS (Butte) [1],Butte,,0
04614240111039,Academy for Change,Butte,1.0,0
04614240120394,Inspire School of Arts and Sc,Butte,106.0,1
04614240121269,Chico Green,Butte,,
04614240123976,Center for Alt. Learning (Butte) [1],Butte,4.0,0
04614240137828,Pivot Charter School North Valley II,Butte,26.0,1
04614240141069,School 04614240141069,,55.0,0
04614240430199,Oakdale,Butte,42.0,0
04614240430215,Loma Vista,Butte,1.0,
04614240431502,Fair View High (Continuation),Butte,98.0,0
04614240431676,Chico High,Butte,451.0,0
04614240437558,Pleasant Valley High,Butte,494.0,0
04614246113310,Center for Alt. Learning (Butte) [2],Butte,9.0,
04614320000001,District Students in NPS (Butte) [2],Butte,,0
04614320430124,Mission High (Butte),Butte,1.0,
04614320433201,Durham High,Butte,72.0,0
04614400121509,Ipakanni Early College Charter (Butte) [1],Butte,16.0,
04614570125252,Pivot Charter - North Valley,Butte,19.0,
04615070121509,Ipakanni Early College Charter (Butte) [2],Butte,4.0,1
04615150000001,District Students in NPS (Butte) [3],Butte,,
04615150430017,School 04615150430017,,,
04615150430116,Challenge Charter High,Butte,45.0,
04615150430140,Oroville High Community Day,Butte,2.0,0
04615150434803,Las Plumas High,Butte,316.0,0
04615150435602,Oroville High,Butte,218.0,0
04615150437566,Prospect High (Continuation) (Butte),Butte,43.0,0
04615310000001,District Students in NPS (Butte) [4],Butte,,0
04615310121715,Paradise eLearning Academy,Butte,18.0,0
04615310430108,Honey Run Academy Secondary,Butte,3.0,
04615310430132,Paradise Charter Network,Butte,24.0,
04615310432856,Ridgeview High (Continuation),Butte,52.0,0
04615310437350,Paradise Senior High,Butte,124.0,0
04615316112585,Hometech Charter,Butte,17.0,1
04755070430157,Gridley Community Day 7-12,Butte,1.0,
04755070433946,Esperanza High (Continuation),Butte,17.0,0
04755070433953,Gridley High,Butte,141.0,0
05100580000001,Calaveras Co. Off. Educ. Programs,Calaveras,,
05100580530048,Calaveras River Academy,Calaveras,3.0,0
05100580530147,Angels Creek,Calaveras,1.0,
05100580530154,Mountain Oaks,Calaveras,41.0,1
05100586077150,Calaveras County Special Educ,Calaveras,3.0,0
05100589010745,Oakendell,Calaveras,5.0,0
05615560530014,Vallecito Continuation High,Calaveras,16.0,0
05615560530071,Arnold High,Calaveras,1.0,
05615560530089,Copper Cove High,Calaveras,2.0,
05615560530121,John Vierra High,Calaveras,12.0,
05615560532507,Bret Harte Union High,Calaveras,140.0,0
05615640000001,District Students in NPS (Calaveras),Calaveras,,0
05615640530022,Gold Strike High,Calaveras,18.0,0
05615640530055,Calaveras Hills Educ. Ctr.,Calaveras,9.0,0
05615640530063,West Point Alternative,Calaveras,2.0,
05615640530113,Jenny Lind High,Calaveras,5.0,
05615640531509,Calaveras High,Calaveras,176.0,0
06100660630111,Colusa County Community,Colusa,1.0,0
06100660634774,Juvenile Hall-Nielson,Colusa,14.0,
06100666069264,Special Education (Colusa),Colusa,2.0,
06615980630012,Colusa Alternative High (Cont,Colusa,3.0,0
06615980630046,Colusa Alternative Home,Colusa,17.0,0
06615980631259,Colusa High,Colusa,99.0,0
06616060630095,"Enid Prine High, Cont.",Colusa,2.0,
06616060634758,Maxwell High,Colusa,26.0,0
06616140000001,Pierce Joint Unified Programs,Colusa,,
06616140630087,"Arbuckle Altern High, Cont.",Colusa,9.0,0
06616140635250,Pierce High,Colusa,99.0,0
06616220630038,Mid Valley High (Continuation,Colusa,16.0,0
06616220637504,Williams High,Colusa,100.0,0
07100740107326,East County Secondary Special Education,Contra Costa,12.0,
07100740107342,East County Elementary Special Educ,Contra Costa,3.0,0
07100740114470,Making Waves Academy,Contra Costa,136.0,1
07100740120444,Mt. McKinley,Contra Costa,34.0,0
07100740129684,Summit Public School K2,Contra Costa,94.0,1
07100740134114,Contra Costa School of Performing Arts,Contra Costa,28.0,1
07100740137026,Invictus Academy of Richmond,Contra Costa,61.0,1
07100740730135,School 07100740730135,,,
07100740730242,Delta Vista High,Contra Costa,19.0,
07100740730556,Edgar Center,Contra Costa,1.0,
07100740730614,Golden Gate,Contra Costa,15.0,1
07100740730663,East Gate Community,Contra Costa,4.0,
07100740731380,Clayton Valley Charter High,Contra Costa,593.0,1
07100746077168,Floyd Marchus,Contra Costa,15.0,0
07616300000001,District Students in NPS (Contra Costa) [1],Contra Costa,12.0,0
07616300107524,Acalanes CIS,Contra Costa,20.0,0
07616300730226,School 07616300730226,,,
07616300730283,Acalanes High,Contra Costa,314.0,0
07616300731125,Campolindo High,Contra Costa,335.0,0
07616300732404,Del Oro High (Continuation),Contra Costa,24.0,
07616300733725,Las Lomas High,Contra Costa,394.0,0
07616300734244,Miramonte High,Contra Costa,292.0,0
07616480000001,District Students in NPS (Contra Costa) [2],Contra Costa,19.0,0
07616480110494,Bidwell Continuation High,Contra Costa,102.0,0
07616480117218,Dozier-Libbey Medical High,Contra Costa,170.0,0
07616480117283,Delta Academy for the Perform,Contra Costa,,
07616480730101,Live Oak High (Continuation),Contra Costa,105.0,0
07616480730259,Prospects High (Alternative),Contra Costa,138.0,0
07616480730465,Deer Valley High,Contra Costa,453.0,0
07616480730481,Bridges,Contra Costa,3.0,
07616480730804,School 07616480730804,,,
07616480730861,Antioch High,Contra Costa,444.0,0
07616486057178,Antioch Middle,Contra Costa,,0
07616630130930,Vista Oaks Charter,Contra Costa,77.0,1
07616970000001,District Students in NPS (Contra Costa) [3],Contra Costa,,0
07616970737023,John Swett High,Contra Costa,88.0,0
07616970737619,Willow High,Contra Costa,21.0,0
07616970761697,Home/hospital and independent study (Contra Costa) [1],Contra Costa,,
07617210000001,District Students in NPS (Contra Costa) [4],Contra Costa,,0
07617210107797,Heritage High (Contra Costa),Contra Costa,642.0,0
07617210730150,School 07617210730150,,,
07617210730457,Freedom High (Contra Costa),Contra Costa,615.0,0
07617210730572,Independence High (Contra Costa),Contra Costa,128.0,0
07617210733980,Liberty High (Contra Costa),Contra Costa,709.0,0
07617210733998,La Paloma High (Continuation),Contra Costa,128.0,0
07617390000001,District Students in NPS (Contra Costa) [5],Contra Costa,,0
07617390730069,School 07617390730069,,,
07617390730440,Vicente Martinez High,Contra Costa,43.0,0
07617390730473,Briones (Alternative),Contra Costa,23.0,0
07617390730549,Alhambra Senior High,Contra Costa,257.0,0
07617540000000,School 07617540000000,,24.0,0
07617540000001,District Students in NPS (Contra Costa) [6],Contra Costa,17.0,0
07617540138115,Crossroads High,Contra Costa,17.0,0
07617540730044,Northgate High,Contra Costa,386.0,0
07617540730168,Loma Vista Adult Center,Contra Costa,,
07617540730317,Horizons Alternative,Contra Costa,89.0,0
07617540730333,Gateway High (Continuation) (Contra Costa),Contra Costa,19.0,
07617540730341,"Nueva Vista High, Cont.",Contra Costa,23.0,
07617540730358,Prospect High (Continuation) (Contra Costa),Contra Costa,29.0,0
07617540730416,Crossroads High (Continuation),Contra Costa,21.0,
07617540730424,Summit High (Continuation) (Contra Costa),Contra Costa,75.0,
07617540730655,Diablo Community Day,Contra Costa,3.0,
07617540731380,Clayton Valley High,Contra Costa,468.0,
07617540731646,College Park High,Contra Costa,487.0,0
07617540731836,Concord High,Contra Costa,284.0,0
07617540734566,Mt. Diablo High,Contra Costa,349.0,0
07617540734764,Olympic Continuation High,Contra Costa,172.0,0
07617540737809,Ygnacio Valley High,Contra Costa,265.0,0
07617540761754,Home/hospital and independent study (Contra Costa) [2],Contra Costa,,
07617546104350,Home and Hospital,Contra Costa,8.0,
07617880000001,District Students in NPS (Contra Costa) [7],Contra Costa,,0
07617880730184,Black Diamond (Continuation),Contra Costa,118.0,0
07617880730564,Independent Learning,Contra Costa,39.0,
07617880735340,School 07617880735340,,,
07617880735407,Pittsburg Senior High,Contra Costa,851.0,0
07617880761788,Home/hospital and independent study (Contra Costa) [3],Contra Costa,,
07617960000000,School 07617960000000,,25.0,0
07617960000001,District Students in NPS (Contra Costa) [8],Contra Costa,15.0,0
07617960101477,Leadership Public Schools (Contra Costa),Contra Costa,148.0,1
07617960115352,West County Community High,Contra Costa,127.0,
07617960118539,WCCUSD Community Day,Contra Costa,9.0,
07617960132100,Aspire Richmond Ca. College Preparatory Academy,Contra Costa,49.0,1
07617960132233,John Henry High (Contra Costa) [1],Contra Costa,72.0,
07617960133637,Summit Public School: Tamalpais,Contra Costa,99.0,1
07617960730275,North Campus Continuation,Contra Costa,111.0,
07617960730291,Middle College High (Contra Costa),Contra Costa,74.0,0
07617960730325,Vista High (Alternative),Contra Costa,162.0,0
07617960730366,Delta Continuation High,Contra Costa,2.0,
07617960730374,Kappa Continuation High,Contra Costa,38.0,
07617960730382,Omega Continuation High,Contra Costa,44.0,
07617960730390,Sigma Continuation High,Contra Costa,10.0,
07617960730523,Transition Learning Center,Contra Costa,6.0,
07617960730580,Alter Ed Learning Ctr Charter,Contra Costa,14.0,
07617960730598,Hercules High,Contra Costa,192.0,0
07617960732164,De Anza Senior High,Contra Costa,262.0,0
07617960732941,El Cerrito Senior High,Contra Costa,365.0,0
07617960733253,Gompers (Samuel) Continuation,Contra Costa,240.0,0
07617960733659,Kennedy High,Contra Costa,185.0,0
07617960735316,Pinole Valley High,Contra Costa,311.0,0
07617960735902,Richmond High,Contra Costa,320.0,0
07617960761796,Home/hospital and independent study (Contra Costa) [4],Contra Costa,,
07617966119518,Hercules Middle,Contra Costa,,
07618040000001,District Students in NPS (Contra Costa) [9],Contra Costa,,0
07618040113118,Dougherty Valley High,Contra Costa,760.0,0
07618040730051,California High (Contra Costa),Contra Costa,724.0,0
07618040730218,Venture (Alternative),Contra Costa,54.0,0
07618040734368,Monte Vista High (Contra Costa),Contra Costa,510.0,0
07618040736504,San Ramon Valley High,Contra Costa,509.0,0
07618040736819,Del Amigo High (Continuation),Contra Costa,33.0,0
07768100125815,Synergy,Contra Costa,,
07773540132233,John Henry High (Contra Costa) [2],Contra Costa,83.0,1
08100820106625,Elk Creek,Del Norte,3.0,
08100820106666,Bar-O,Del Norte,10.0,
08100820109777,Klamath River Early College o,Del Norte,5.0,
08100820830018,Paragon/Avalon,Del Norte,6.0,
08100820830042,McCarthy Center/Court/Communi,Del Norte,4.0,0
08100820830059,Castle Rock,Del Norte,93.0,1
08100820830067,Del Norte County Community Da,Del Norte,1.0,
08100820840017,Juvenile Hall/Bar-O,Del Norte,11.0,
08100821016625,School 08100821016625,,,
08618200833004,Del Norte High (Del Norte),Del Norte,231.0,0
08618200836205,Sunset High,Del Norte,42.0,0
09100900106047,Blue Ridge,El Dorado,3.0,0
09100900136036,School 09100900136036,,37.0,1
09100900930016,Golden Ridge,El Dorado,6.0,
09100900930123,Charter Comm Schl HS Academy,El Dorado,109.0,1
09100900930131,Rite of Passage,El Dorado,31.0,1
09100900930172,TREC II - Placerville,El Dorado,1.0,
09100900930180,TREC I - Tahoe,El Dorado,2.0,
09100906069470,Special Education (El Dorado),El Dorado,2.0,0
09618380136200,Clarksville Charter,El Dorado,48.0,1
09618380139006,Cottonwood,El Dorado,1.0,1
09618530000001,District Students in NPS (El Dorado) [1],El Dorado,,0
09618530101808,Mountain View High (El Dorado),El Dorado,23.0,
09618530930081,Oak Ridge High,El Dorado,586.0,0
09618530930149,"Independent Learning Ctr., Alt",El Dorado,50.0,
09618530930164,Union Mine High,El Dorado,258.0,0
09618530930206,Edushd,El Dorado,1.0,
09618530930214,Shenandoah High,El Dorado,28.0,1
09618530930222,Vista High (El Dorado),El Dorado,25.0,
09618530932756,El Dorado High (El Dorado),El Dorado,284.0,0
09618530934554,Independence Continuation (El Dorado),El Dorado,65.0,0
09618530936302,Ponderosa High,El Dorado,419.0,0
09619030140459,School 09619030140459,,15.0,0
09619030930040,Mt. Tallac High,El Dorado,42.0,0
09619030930107,Transitional Learning Ctr,El Dorado,34.0,
09619030937805,South Tahoe High,El Dorado,269.0,0
09619450930198,Learning With A Purpose,El Dorado,10.0,
09737830000001,District Students in NPS (El Dorado) [2],El Dorado,,0
09737830121566,American River Charter,El Dorado,8.0,1
09737830930073,Gsjshs,El Dorado,76.0,0
09737830930099,Divide High,El Dorado,9.0,0
09737830930156,Black Oak Mine Community,El Dorado,1.0,
09764890121467,Aspire Alexander Twilight Sec,El Dorado,,
09765960119529,PTS-Orangevale,El Dorado,,
09765960119537,PTS-Santa Ana,El Dorado,10.0,
10101080109991,Crescent View West Charter (Fresno) [1],Fresno,110.0,1
10101080111682,Hume Lake Charter,Fresno,7.0,1
10101080119628,Big Picture High School Fresno,Fresno,14.0,1
10101080136291,Career Technical Education Charter,Fresno,60.0,1
10101081030337,Fresno County Court,Fresno,124.0,0
10101081030899,Fresno County Community,Fresno,18.0,0
10101081030923,Fresno County Community Day,Fresno,8.0,
10101086069488,Fresno Cnty. Special Education,Fresno,19.0,0
10620751030535,Caruthers High (Fresno) [1],Fresno,131.0,
10621170000001,District Students in NPS (Fresno) [1],Fresno,,0
10621170110270,Clovis Community Day,Fresno,8.0,0
10621170113555,Clovis North High,Fresno,590.0,0
10621170118018,Clovis Online Charter,Fresno,136.0,1
10621171030071,School 10621171030071,,,
10621171030196,Clovis West High,Fresno,546.0,0
10621171030469,Enterprise Alternative,Fresno,18.0,0
10621171030501,Buchanan High,Fresno,638.0,0
10621171030634,Excel High (Fresno),Fresno,13.0,
10621171030683,Clovis East High,Fresno,778.0,0
10621171031004,Gateway High (Continuation) (Fresno),Fresno,104.0,0
10621171031053,Clovis High,Fresno,695.0,0
10621251030113,Cambridge High,Fresno,21.0,0
10621251030477,Chesnut High (Continuation),Fresno,17.0,0
10621251030873,Miles W. Culwell Community Day,Fresno,1.0,0
10621251031376,Coalinga High,Fresno,314.0,0
10621251062125,School 10621251062125,,,
10621580000001,District Students in NPS (Fresno) [2],Fresno,,
10621580108977,Casa Blanca Community Day 9-12,Fresno,3.0,
10621580120246,Casa Blanca Academy,Fresno,6.0,0
10621581031954,Casa Blanca Continuation,Fresno,4.0,0
10621581032150,Fowler High,Fresno,202.0,0
10621660000001,District Students in NPS (Fresno) [3],Fresno,,0
10621660106740,Valley Preparatory Academy,Fresno,2.0,1
10621660107532,Academy for New Americans,Fresno,1.0,
10621660108555,Design Science Early College,Fresno,61.0,0
10621660114355,Sierra Charter,Fresno,77.0,1
10621660114553,University High (Fresno) [1],Fresno,124.0,1
10621660115196,Fresno Academy for Civic,Fresno,41.0,
10621660120964,Phoenix Secondary,Fresno,1.0,0
10621660132134,Phillip J Patino School of Entrepreneurship,Fresno,53.0,0
10621660140038,School 10621660140038,,29.0,1
10621661030170,Dewolf West High,Fresno,5.0,
10621661030188,New Horizon High (Fresno),Fresno,9.0,
10621661030212,Roosevelt Continuation,Fresno,6.0,
10621661030279,Bullard High,Fresno,621.0,0
10621661030287,Young Academic Center,Fresno,119.0,0
10621661030295,Duncan (Erma) Polytechnical Hi,Fresno,296.0,0
10621661030584,Cambridge Cont. High,Fresno,277.0,0
10621661030642,School of Unlimited Learn,Fresno,78.0,1
10621661030667,New Millennium Institute,Fresno,89.0,
10621661030675,Sunnyside High,Fresno,714.0,0
10621661030733,Fresno Prep Academy,Fresno,66.0,
10621661030816,Renaissance Charter,Fresno,22.0,
10621661030840,Carter G. Woodson Public Char,Fresno,130.0,1
10621661030907,NorthStar High,Fresno,1.0,
10621661031632,Dewolf Continuation High,Fresno,126.0,0
10621661031840,School 10621661031840,,,
10621661031897,Edison High (Fresno),Fresno,585.0,0
10621661032309,School 10621661032309,,,
10621661032507,Fresno High,Fresno,467.0,0
10621661032911,Herbert Hoover High (Fresno),Fresno,510.0,0
10621661034214,McLane High,Fresno,514.0,0
10621661035831,Roosevelt High,Fresno,544.0,0
10621666112619,Fulton Special Education,Fresno,8.0,0
10621666118095,Cornerstone Academy,Fresno,3.0,
10621741030774,W. E. B. DuBois Charter (Fresno) [1],Fresno,29.0,
10621741030857,W Fresno Performing,Fresno,44.0,
10621741030865,One Step Up,Fresno,33.0,
10622570000001,Kingsburg Jt. Un. High Programs,Fresno,,
10622570124727,Kingsburg Independent Study H,Fresno,15.0,0
10622571033695,Kingsburg High,Fresno,268.0,0
10622571033729,Oasis Continuation High,Fresno,13.0,0
10622650000001,Kings Canyon Unified Programs,Fresno,,0
10622650108092,Orange Cove High,Fresno,130.0,0
10622650116640,Dunlap Leadership Academy,Fresno,18.0,1
10622650126292,Reedley Middle College High,Fresno,64.0,1
10622651030378,Mountain View (Alternative),Fresno,76.0,0
10622651033703,Kings Canyon Continuation,Fresno,65.0,0
10622651035310,Reedley High,Fresno,451.0,0
10622656006746,Citrus Middle,Fresno,,0
10622810110445,Laton Community Day,Fresno,3.0,
10622811033950,Laton High,Fresno,44.0,0
10623310124354,National Univ Acad Orange Ctr,Fresno,12.0,
10623310127175,CAVA@Fresno,Fresno,40.0,
10623310130880,Compass Charter Schools of Fresno,Fresno,10.0,
10623310137661,California Virtual Academy at Fresno,Fresno,68.0,1
10623640107623,Crescent View Charter High,Fresno,3.0,
10623640118661,Academy Charter,Fresno,,
10623640126870,San Joaquin Valley High,Fresno,30.0,0
10623641030238,School 10623641030238,,,
